"","length","freq","item"
"1","l4","lf","seau"
"2","l4","lf","amen"
"3","l4","lf","ring"
"4","l4","lf","vase"
"5","l4","lf","mont"
"6","l4","lf","sons"
"7","l4","lf","cire"
"8","l4","lf","lacs"
"9","l4","lf","vues"
"10","l4","lf","boxe"
"11","l4","lf","clou"
"12","l4","lf","girl"
"13","l4","lf","char"
"14","l4","lf","paye"
"15","l4","lf","dodo"
"16","l4","lf","boum"
"17","l4","lf","sire"
"18","l4","lf","sève"
"19","l4","lf","noce"
"20","l4","lf","grue"
"21","l4","lf","oies"
"22","l4","lf","gale"
"23","l4","lf","once"
"24","l4","lf","arts"
"25","l4","lf","aire"
"26","l4","lf","rien"
"27","l4","lf","mers"
"28","l4","lf","tôle"
"29","l4","lf","îles"
"30","l4","lf","yang"
"31","l4","lf","sida"
"32","l4","lf","héro"
"33","l4","lf","scie"
"34","l4","lf","pots"
"35","l4","lf","lutz"
"36","l4","lf","tram"
"37","l4","lf","soda"
"38","l4","lf","trac"
"39","l4","lf","nazi"
"40","l4","lf","fers"
"41","l4","lf","raté"
"42","l4","lf","ruse"
"43","l4","lf","trip"
"44","l4","lf","sage"
"45","l4","lf","nerf"
"46","l4","hf","amis"
"47","l4","hf","camp"
"48","l4","hf","chef"
"49","l4","hf","papa"
"50","l4","hf","soir"
"51","l4","hf","fois"
"52","l4","hf","bras"
"53","l4","hf","fric"
"54","l4","hf","bois"
"55","l4","hf","peur"
"56","l4","hf","mort"
"57","l4","hf","gars"
"58","l4","hf","part"
"59","l4","hf","plan"
"60","l4","hf","avis"
"61","l4","hf","pied"
"62","l4","hf","face"
"63","l4","hf","film"
"64","l4","hf","truc"
"65","l4","hf","ciel"
"66","l4","hf","aide"
"67","l4","hf","mots"
"68","l4","hf","mois"
"69","l4","hf","pays"
"70","l4","hf","état"
"71","l4","hf","fait"
"72","l4","hf","café"
"73","l4","hf","côté"
"74","l4","hf","paix"
"75","l4","hf","main"
"76","l4","hf","jour"
"77","l4","hf","yeux"
"78","l4","hf","type"
"79","l4","hf","tour"
"80","l4","hf","bébé"
"81","l4","hf","arme"
"82","l4","hf","fils"
"83","l4","hf","père"
"84","l4","hf","idée"
"85","l4","hf","tête"
"86","l4","hf","sang"
"87","l4","hf","coup"
"88","l4","hf","sens"
"89","l4","hf","voix"
"90","l4","hf","mari"
"91","l6","lf","avenue"
"92","l6","lf","audace"
"93","l6","lf","revers"
"94","l6","lf","voyous"
"95","l6","lf","estime"
"96","l6","lf","armées"
"97","l6","lf","poumon"
"98","l6","lf","morgue"
"99","l6","lf","légion"
"100","l6","lf","fraise"
"101","l6","lf","bougie"
"102","l6","lf","poivre"
"103","l6","lf","peigne"
"104","l6","lf","hangar"
"105","l6","lf","labeur"
"106","l6","lf","poètes"
"107","l6","lf","pinces"
"108","l6","lf","poteau"
"109","l6","lf","bunker"
"110","l6","lf","arabes"
"111","l6","lf","taudis"
"112","l6","lf","agenda"
"113","l6","lf","caviar"
"114","l6","lf","simple"
"115","l6","lf","canyon"
"116","l6","lf","barman"
"117","l6","lf","bridge"
"118","l6","lf","brosse"
"119","l6","lf","thorax"
"120","l6","lf","indien"
"121","l6","lf","faucon"
"122","l6","lf","spider"
"123","l6","lf","poings"
"124","l6","lf","bagues"
"125","l6","lf","pétard"
"126","l6","lf","partis"
"127","l6","lf","fracas"
"128","l6","lf","gringo"
"129","l6","lf","renard"
"130","l6","lf","marbre"
"131","l6","lf","phares"
"132","l6","lf","gibier"
"133","l6","lf","faille"
"134","l6","lf","tomate"
"135","l6","lf","jetons"
"136","l6","hf","partie"
"137","l6","hf","guerre"
"138","l6","hf","hommes"
"139","l6","hf","retour"
"140","l6","hf","numéro"
"141","l6","hf","soleil"
"142","l6","hf","madame"
"143","l6","hf","propos"
"144","l6","hf","chance"
"145","l6","hf","police"
"146","l6","hf","argent"
"147","l6","hf","putain"
"148","l6","hf","bateau"
"149","l6","hf","maison"
"150","l6","hf","revoir"
"151","l6","hf","bureau"
"152","l6","hf","minute"
"153","l6","hf","gueule"
"154","l6","hf","équipe"
"155","l6","hf","vérité"
"156","l6","hf","retard"
"157","l6","hf","compte"
"158","l6","hf","peuple"
"159","l6","hf","erreur"
"160","l6","hf","moment"
"161","l6","hf","heures"
"162","l6","hf","maître"
"163","l6","hf","femmes"
"164","l6","hf","prison"
"165","l6","hf","lettre"
"166","l6","hf","voyage"
"167","l6","hf","boulot"
"168","l6","hf","accord"
"169","l6","hf","espèce"
"170","l6","hf","filles"
"171","l6","hf","patron"
"172","l6","hf","années"
"173","l6","hf","besoin"
"174","l6","hf","enfant"
"175","l6","hf","garçon"
"176","l6","hf","chemin"
"177","l6","hf","raison"
"178","l6","hf","visage"
"179","l6","hf","choses"
"180","l6","hf","esprit"
