acc,accuracy,allowed_responses,average_response_time,avg_rt,background,bidi,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_blank_screen,count_delay,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stim_pres,count_welcome,cycles,delay_delay,description,duration,flush,font_bold,font_family,font_italic,font_size,foreground,freq,height,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_sketchpad,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_sketchpad,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_blank_screen,time_delay,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stim_pres,time_welcome,timeout,title,width
"100","100","NA","674","674","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","0","NA","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","lf","768","tôle","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","NA","674","674","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","2705","NA","3381","NA","2317","NA","NA","4381","2318","2702","NA","2705","NA","NA","Experience_test","1024"
"100","100","NA","624","624","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","1","NA","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","mèra","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","NA","575","575","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","4791","NA","5368","NA","2317","NA","NA","6368","2318","4788","NA","4791","NA","NA","Experience_test","1024"
"100","100","NA","578","578","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","2","NA","2","NA","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","lf","768","grue","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","NA","486","486","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","6771","NA","7260","NA","2317","NA","NA","8260","2318","6769","NA","6771","NA","NA","Experience_test","1024"
"100","100","NA","565","565","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","3","NA","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","rous","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","NA","525","525","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","8668","NA","9195","NA","2317","NA","NA","10196","2318","8666","NA","8668","NA","NA","Experience_test","1024"
"100","100","NA","541","541","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","4","NA","4","NA","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","hf","768","filles","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","NA","447","447","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","10604","NA","11054","NA","2317","NA","NA","12054","2318","10602","NA","10604","NA","NA","Experience_test","1024"
"100","100","NA","533","533","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","5","NA","5","NA","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","vera","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","NA","495","495","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","12458","NA","12956","NA","2317","NA","NA","13956","2318","12456","NA","12458","NA","NA","Experience_test","1024"
"100","100","NA","538","538","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","6","NA","6","NA","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","chluis","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","NA","567","567","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","14345","NA","14914","NA","2317","NA","NA","15914","2318","14341","NA","14345","NA","NA","Experience_test","1024"
"100","100","NA","530","530","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","7","NA","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","sapove","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","NA","478","478","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","16311","NA","16792","NA","2317","NA","NA","17792","2318","16309","NA","16311","NA","NA","Experience_test","1024"
"100","100","NA","532","532","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","8","NA","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","éniger","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","NA","543","543","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","18180","NA","18726","NA","2317","NA","NA","19726","2318","18178","NA","18179","NA","NA","Experience_test","1024"
"100","100","NA","539","539","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","9","NA","9","NA","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","lf","768","sida","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","NA","600","600","NA","NA","NA","NA","NA","legacy","experiment","None","11","odd","legacy","20110","NA","20712","NA","2317","NA","NA","21712","2318","20108","NA","20110","NA","NA","Experience_test","1024"
