acc,accuracy,allowed_responses,auto_log,average_response_time,avg_rt,background,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_attente,count_blank_screen,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stimuluspresentation,count_welcome,cycles,delay_attente,description,duration,flush,foreground,freq,height,ignore_missing,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_attente,time_blank_screen,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stimuluspresentation,time_welcome,timeout,title,use_quotes,width
"100","100","NA","yes","1454","1454","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","yes","samris","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","1454","1454","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4719954","NA","NA","4721412","NA","NA","NA","NA","NA","NA","NA","4719954","NA","NA","New experiment","yes","1024"
"100","100","NA","yes","1020","1020","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","NA","1","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","yes","dimiva","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","586","586","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4722189","NA","NA","4722779","NA","NA","NA","NA","NA","NA","NA","4722188","NA","NA","New experiment","yes","1024"
"66.6666666667","66.6666666667","NA","yes","1346","1346","black","NA","xpyriment","NA","0","relative","0","0","NA","NA","2","NA","NA","2","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","yes","tere","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","None","None","NA","NA","2000","2000","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4723551","NA","NA","4725554","NA","NA","NA","NA","NA","NA","NA","4723551","NA","NA","New experiment","yes","1024"
"75","75","NA","yes","1171","1171","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","NA","3","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","yes","stis","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","646","646","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4726330","NA","NA","4726980","NA","NA","NA","NA","NA","NA","NA","4726330","NA","NA","New experiment","yes","1024"
"80","80","NA","yes","1243","1243","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","4","NA","NA","4","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","yes","gringo","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","1531","1531","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4727765","NA","NA","4729299","NA","NA","NA","NA","NA","NA","NA","4727765","NA","NA","New experiment","yes","1024"
"83.3333333333","83.3333333333","NA","yes","1217","1217","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","5","NA","NA","5","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","yes","albîré","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","1085","1085","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4730010","NA","NA","4731097","NA","NA","NA","NA","NA","NA","NA","4730010","NA","NA","New experiment","yes","1024"
"85.7142857143","85.7142857143","NA","yes","1123","1123","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","6","NA","NA","6","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","yes","pnes","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","559","559","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4731867","NA","NA","4732429","NA","NA","NA","NA","NA","NA","NA","4731867","NA","NA","New experiment","yes","1024"
"87.5","87.5","NA","yes","1058","1058","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","NA","7","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","yes","pays","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","609","609","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4733199","NA","NA","4733810","NA","NA","NA","NA","NA","NA","NA","4733199","NA","NA","New experiment","yes","1024"
"88.8888888889","88.8888888889","NA","yes","1006","1006","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","NA","8","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","yes","oinfre","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","591","591","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4734583","NA","NA","4735177","NA","NA","NA","NA","NA","NA","NA","4734583","NA","NA","New experiment","yes","1024"
"90","90","NA","yes","974","974","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","9","NA","NA","9","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","yes","argent","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","686","686","NA","NA","NA","NA","legacy","experiment","None","13","odd","legacy","4735950","NA","NA","4736639","NA","NA","NA","NA","NA","NA","NA","4735950","NA","NA","New experiment","yes","1024"
