acc,accuracy,allowed_responses,average_response_time,avg_rt,background,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_attente,count_blank_screen,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stimuluspresentation,count_welcome,cycles,delay_attente,description,duration,flush,foreground,freq,height,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_attente,time_blank_screen,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stimuluspresentation,time_welcome,timeout,title,width
"100","100","NA","859","859","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","exré","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","859","859","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","1629","NA","NA","2490","1475","NA","NA","2990","1476","1603","NA","1629","NA","NA","New experiment","1024"
"100","100","NA","836","836","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","NA","1","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","austié","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","814","814","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","3139","NA","NA","3955","1475","NA","NA","4455","1476","3135","NA","3139","NA","NA","New experiment","1024"
"100","100","NA","742","742","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","2","NA","NA","2","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","tomate","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","553","553","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","4601","NA","NA","5156","1475","NA","NA","5656","1476","4596","NA","4601","NA","NA","New experiment","1024"
"100","100","NA","702","702","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","NA","3","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","pnop","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","584","584","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","5806","NA","NA","6392","1475","NA","NA","6892","1476","5801","NA","5806","NA","NA","New experiment","1024"
"100","100","NA","668","668","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","4","NA","NA","4","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","yeux","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","530","530","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","7039","NA","NA","7571","1475","NA","NA","8071","1476","7034","NA","7038","NA","NA","New experiment","1024"
"100","100","NA","656","656","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","5","NA","NA","5","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","amen","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","601","601","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","8248","NA","NA","8851","1475","NA","NA","9351","1476","8243","NA","8248","NA","NA","New experiment","1024"
"100","100","NA","677","677","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","6","NA","NA","6","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","sotant","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","802","802","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","9499","NA","NA","10304","1475","NA","NA","10804","1476","9495","NA","9499","NA","NA","New experiment","1024"
"100","100","NA","676","676","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","NA","7","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","chluis","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","666","666","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","10975","NA","NA","11643","1475","NA","NA","12143","1476","10970","NA","10975","NA","NA","New experiment","1024"
"100","100","NA","670","670","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","NA","8","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","mèra","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","624","624","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","12383","NA","NA","13009","1475","NA","NA","13509","1476","12378","NA","12383","NA","NA","New experiment","1024"
"100","100","NA","654","654","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","9","NA","NA","9","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","renard","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","507","507","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","13662","NA","NA","14171","1475","NA","NA","14671","1476","13657","NA","13661","NA","NA","New experiment","1024"
"100","100","NA","652","652","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","10","NA","NA","10","0","0","NA","10","0","10","NA","10","NA","NA","NA","Logs experimental data","NA","NA","white","lf","768","sida","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","635","635","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","14815","NA","NA","15451","1475","NA","NA","15952","1476","14811","NA","14815","NA","NA","New experiment","1024"
"100","100","NA","644","644","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","11","NA","NA","11","0","0","NA","11","0","11","NA","11","NA","NA","NA","Logs experimental data","NA","NA","white","hf","768","amis","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","553","553","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","16098","NA","NA","16653","1475","NA","NA","17153","1476","16093","NA","16097","NA","NA","New experiment","1024"
"100","100","NA","643","643","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","12","NA","NA","12","0","0","NA","12","0","12","NA","12","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","qeuple","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","633","633","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","17297","NA","NA","17931","1475","NA","NA","18432","1476","17292","NA","17297","NA","NA","New experiment","1024"
"100","100","NA","635","635","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","13","NA","NA","13","0","0","NA","13","0","13","NA","13","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","veuple","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","542","542","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","18707","NA","NA","19251","1475","NA","NA","19751","1476","18701","NA","18707","NA","NA","New experiment","1024"
"100","100","NA","636","636","black","NA","xpyriment","NA","0","relative","1","1","NA","NA","14","NA","NA","14","0","0","NA","14","0","14","NA","14","NA","NA","NA","Logs experimental data","NA","NA","white","pw","768","amulit","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","641","641","NA","NA","NA","NA","legacy","experiment","None","14","even","legacy","19903","NA","NA","20546","1475","NA","NA","21046","1476","19898","NA","19902","NA","NA","New experiment","1024"
