acc,accuracy,allowed_responses,average_response_time,avg_rt,background,bidi,break_if,canvas_backend,column_order,compensation,coordinates,correct,correct__keyboard_response,correct_keyboard_response,correct_response,count__keyboard_response,count__sketchpad,count_attente,count_blank_screen,count_experiment,count_getting_started,count_keyboard_response,count_logger,count_loop,count_sequence,count_sketchpad,count_stimuluspresentation,count_welcome,cycles,delay_attente,description,duration,flush,font_bold,font_family,font_italic,font_size,foreground,freq,height,item,jitter,jitter_mode,keyboard_backend,length,mouse_backend,note,order,repeat,repeat_cycle,reset_variables,resp,response,response__keyboard_response,response__sketchpad,response_keyboard_response,response_time,response_time__keyboard_response,response_time__sketchpad,response_time_keyboard_response,response_time_welcome,response_welcome,sampler_backend,start,start_response_interval,subject_nr,subject_parity,synth_backend,time__keyboard_response,time__sketchpad,time_attente,time_blank_screen,time_experiment,time_getting_started,time_keyboard_response,time_logger,time_loop,time_sequence,time_sketchpad,time_stimuluspresentation,time_welcome,timeout,title,width
"100","100","NA","606","606","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","0","NA","NA","0","0","0","NA","0","0","0","NA","0","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","lf","768","cire","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","606","606","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","3237","NA","NA","3847","2851","NA","NA","4347","2853","3217","NA","3237","NA","NA","lEXDEC","1024"
"100","100","NA","584","584","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","1","NA","NA","1","0","0","NA","1","0","1","NA","1","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","sere","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","562","562","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","4806","NA","NA","5373","2851","NA","NA","5873","2853","4786","NA","4806","NA","NA","lEXDEC","1024"
"100","100","NA","581","581","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","2","NA","NA","2","0","0","NA","2","0","2","NA","2","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","hf","768","idée","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","576","576","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","6319","NA","NA","6899","2851","NA","NA","7399","2853","6296","NA","6318","NA","NA","lEXDEC","1024"
"100","100","NA","577","577","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","3","NA","NA","3","0","0","NA","3","0","3","NA","3","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","lf","768","labeur","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","565","565","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","7836","NA","NA","8405","2851","NA","NA","8905","2853","7817","NA","7836","NA","NA","lEXDEC","1024"
"100","100","NA","571","571","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","4","NA","NA","4","0","0","NA","4","0","4","NA","4","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","ates","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","546","546","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","9373","NA","NA","9923","2851","NA","NA","10423","2853","9353","NA","9373","NA","NA","lEXDEC","1024"
"100","100","NA","560","560","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","5","NA","NA","5","0","0","NA","5","0","5","NA","5","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","hf","768","mari","NA","NA","legacy","l4","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","506","506","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","10830","NA","NA","11340","2851","NA","NA","11840","2853","10809","NA","10830","NA","NA","lEXDEC","1024"
"100","100","NA","541","541","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","6","NA","NA","6","0","0","NA","6","0","6","NA","6","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","lf","768","indien","NA","NA","legacy","l6","xpyriment","NA","NA","NA","0","NA","o","o","o","NA","NA","430","430","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","12298","NA","NA","12733","2851","NA","NA","13233","2853","12276","NA","12298","NA","NA","lEXDEC","1024"
"100","100","NA","560","560","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","7","NA","NA","7","0","0","NA","7","0","7","NA","7","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","pasame","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","693","693","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","13661","NA","NA","14361","2851","NA","NA","14861","2853","13642","NA","13661","NA","NA","lEXDEC","1024"
"100","100","NA","562","562","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","8","NA","NA","8","0","0","NA","8","0","8","NA","8","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","atie","NA","NA","legacy","4","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","576","576","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","15326","NA","NA","15906","2851","NA","NA","16406","2853","15305","NA","15326","NA","NA","lEXDEC","1024"
"100","100","NA","563","563","black","no","NA","xpyriment","NA","0","relative","1","1","NA","NA","9","NA","NA","9","0","0","NA","9","0","9","NA","9","NA","NA","NA","Logs experimental data","NA","NA","no","mono","no","18","white","pw","768","masade","NA","NA","legacy","6","xpyriment","NA","NA","NA","0","NA","e","e","e","NA","NA","572","572","NA","NA","NA","NA","legacy","experiment","None","15","odd","legacy","16881","NA","NA","17457","2851","NA","NA","17957","2853","16835","NA","16881","NA","NA","lEXDEC","1024"
